id,mainCategory,topic,type,level,term,ipa,partOfSpeech,vietnameseMeaning,englishDefinition,synonyms,collocations,exampleSentence,interviewSentence,speakingPrompt,commonMistake,pronunciationFocus,tags,status
TOE-9-009,TOEIC Core,Marketing,Word,Basic,market,,noun,nghĩa tiếng Việt của 'market' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,market document; market process; market requirement,The company reviewed the market before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'market' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-010,TOEIC Core,Marketing,Word,Basic,persuasion,,noun,nghĩa tiếng Việt của 'persuasion' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,persuasion document; persuasion process; persuasion requirement,The company reviewed the persuasion before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'persuasion' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-011,TOEIC Core,Marketing,Word,Basic,productive,,noun,nghĩa tiếng Việt của 'productive' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,productive document; productive process; productive requirement,The company reviewed the productive before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'productive' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-9-012,TOEIC Core,Marketing,Word,Basic,satisfaction,,noun,nghĩa tiếng Việt của 'satisfaction' trong chủ đề Marketing,A TOEIC workplace term commonly used in marketing contexts.,,satisfaction document; satisfaction process; satisfaction requirement,The company reviewed the satisfaction before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'satisfaction' in a short answer about marketing.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, marketing",New
TOE-10-001,TOEIC Core,Warranties,Word,Basic,characteristic,,noun,nghĩa tiếng Việt của 'characteristic' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,characteristic document; characteristic process; characteristic requirement,The company reviewed the characteristic before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'characteristic' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-002,TOEIC Core,Warranties,Word,Basic,consequence,,noun,nghĩa tiếng Việt của 'consequence' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,consequence document; consequence process; consequence requirement,The company reviewed the consequence before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'consequence' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-003,TOEIC Core,Warranties,Word,Basic,consider,,noun,nghĩa tiếng Việt của 'consider' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,consider document; consider process; consider requirement,The company reviewed the consider before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'consider' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-004,TOEIC Core,Warranties,Word,Basic,cover,,noun,nghĩa tiếng Việt của 'cover' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,cover document; cover process; cover requirement,The company reviewed the cover before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'cover' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-005,TOEIC Core,Warranties,Word,Basic,expiration,,noun,nghĩa tiếng Việt của 'expiration' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,expiration document; expiration process; expiration requirement,The company reviewed the expiration before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'expiration' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-006,TOEIC Core,Warranties,Word,Basic,frequently,,adverb,nghĩa tiếng Việt của 'frequently' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,frequently document; frequently process; frequently requirement,The company reviewed the frequently before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'frequently' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-007,TOEIC Core,Warranties,Word,Basic,imply,,adverb,nghĩa tiếng Việt của 'imply' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,imply document; imply process; imply requirement,The company reviewed the imply before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'imply' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-008,TOEIC Core,Warranties,Word,Basic,promise,,noun,nghĩa tiếng Việt của 'promise' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,promise document; promise process; promise requirement,The company reviewed the promise before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'promise' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-009,TOEIC Core,Warranties,Word,Basic,protect,,noun,nghĩa tiếng Việt của 'protect' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,protect document; protect process; protect requirement,The company reviewed the protect before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'protect' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-010,TOEIC Core,Warranties,Word,Basic,reputation,,noun,nghĩa tiếng Việt của 'reputation' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,reputation document; reputation process; reputation requirement,The company reviewed the reputation before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'reputation' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-011,TOEIC Core,Warranties,Word,Basic,require,,noun,nghĩa tiếng Việt của 'require' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,require document; require process; require requirement,The company reviewed the require before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'require' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-10-012,TOEIC Core,Warranties,Word,Basic,variety,,noun,nghĩa tiếng Việt của 'variety' trong chủ đề Warranties,A TOEIC workplace term commonly used in warranties contexts.,,variety document; variety process; variety requirement,The company reviewed the variety before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'variety' in a short answer about warranties.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, warranties",New
TOE-17-001,TOEIC Core,Business Planning,Word,Basic,address,,noun,nghĩa tiếng Việt của 'address' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,address document; address process; address requirement,The company reviewed the address before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'address' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-002,TOEIC Core,Business Planning,Word,Basic,avoid,,noun,nghĩa tiếng Việt của 'avoid' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,avoid document; avoid process; avoid requirement,The company reviewed the avoid before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'avoid' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-003,TOEIC Core,Business Planning,Word,Basic,demonstrate,,noun,nghĩa tiếng Việt của 'demonstrate' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,demonstrate document; demonstrate process; demonstrate requirement,The company reviewed the demonstrate before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'demonstrate' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-004,TOEIC Core,Business Planning,Word,Basic,develop,,noun,nghĩa tiếng Việt của 'develop' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,develop document; develop process; develop requirement,The company reviewed the develop before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'develop' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-005,TOEIC Core,Business Planning,Word,Basic,evaluate,,noun,nghĩa tiếng Việt của 'evaluate' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,evaluate document; evaluate process; evaluate requirement,The company reviewed the evaluate before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'evaluate' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-006,TOEIC Core,Business Planning,Word,Basic,gather,,noun,nghĩa tiếng Việt của 'gather' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,gather document; gather process; gather requirement,The company reviewed the gather before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'gather' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-007,TOEIC Core,Business Planning,Word,Basic,offer,,noun,nghĩa tiếng Việt của 'offer' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,offer document; offer process; offer requirement,The company reviewed the offer before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'offer' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-008,TOEIC Core,Business Planning,Word,Basic,primarily,,adverb,nghĩa tiếng Việt của 'primarily' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,primarily document; primarily process; primarily requirement,The company reviewed the primarily before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'primarily' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-009,TOEIC Core,Business Planning,Word,Basic,risk,,noun,nghĩa tiếng Việt của 'risk' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,risk document; risk process; risk requirement,The company reviewed the risk before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'risk' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-010,TOEIC Core,Business Planning,Word,Basic,strategy,,noun,nghĩa tiếng Việt của 'strategy' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,strategy document; strategy process; strategy requirement,The company reviewed the strategy before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'strategy' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-011,TOEIC Core,Business Planning,Word,Basic,strong,,noun,nghĩa tiếng Việt của 'strong' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,strong document; strong process; strong requirement,The company reviewed the strong before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'strong' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-17-012,TOEIC Core,Business Planning,Word,Basic,substitution,,noun,nghĩa tiếng Việt của 'substitution' trong chủ đề Business Planning,A TOEIC workplace term commonly used in business planning contexts.,,substitution document; substitution process; substitution requirement,The company reviewed the substitution before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'substitution' in a short answer about business planning.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, business-planning",New
TOE-11-001,TOEIC Core,Conferences,Word,Basic,accommodate,,noun,nghĩa tiếng Việt của 'accommodate' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,accommodate document; accommodate process; accommodate requirement,The company reviewed the accommodate before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'accommodate' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-002,TOEIC Core,Conferences,Word,Basic,arrangement,,noun,nghĩa tiếng Việt của 'arrangement' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,arrangement document; arrangement process; arrangement requirement,The company reviewed the arrangement before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'arrangement' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-003,TOEIC Core,Conferences,Word,Basic,association,,noun,nghĩa tiếng Việt của 'association' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,association document; association process; association requirement,The company reviewed the association before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'association' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-004,TOEIC Core,Conferences,Word,Basic,attend,,noun,nghĩa tiếng Việt của 'attend' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,attend document; attend process; attend requirement,The company reviewed the attend before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'attend' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-005,TOEIC Core,Conferences,Phrase,Basic,get in touch,,phrase,nghĩa tiếng Việt của 'get in touch' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,get in touch document; get in touch process; get in touch requirement,The company reviewed the get in touch before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'get in touch' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-006,TOEIC Core,Conferences,Word,Basic,hold,,noun,nghĩa tiếng Việt của 'hold' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,hold document; hold process; hold requirement,The company reviewed the hold before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'hold' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-007,TOEIC Core,Conferences,Word,Basic,location,,noun,nghĩa tiếng Việt của 'location' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,location document; location process; location requirement,The company reviewed the location before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'location' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-008,TOEIC Core,Conferences,Word,Basic,overcrowded,,noun,nghĩa tiếng Việt của 'overcrowded' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,overcrowded document; overcrowded process; overcrowded requirement,The company reviewed the overcrowded before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'overcrowded' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-009,TOEIC Core,Conferences,Word,Basic,register,,noun,nghĩa tiếng Việt của 'register' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,register document; register process; register requirement,The company reviewed the register before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'register' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-010,TOEIC Core,Conferences,Word,Basic,select,,noun,nghĩa tiếng Việt của 'select' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,select document; select process; select requirement,The company reviewed the select before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'select' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-011,TOEIC Core,Conferences,Word,Basic,session,,noun,nghĩa tiếng Việt của 'session' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,session document; session process; session requirement,The company reviewed the session before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'session' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-11-012,TOEIC Core,Conferences,Phrase,Basic,take part in,,phrase,nghĩa tiếng Việt của 'take part in' trong chủ đề Conferences,A TOEIC workplace term commonly used in conferences contexts.,,take part in document; take part in process; take part in requirement,The company reviewed the take part in before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'take part in' in a short answer about conferences.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, conferences",New
TOE-9-001,TOEIC Core,Computers,Word,Basic,access,,noun,nghĩa tiếng Việt của 'access' trong chủ đề Computers,A TOEIC workplace term commonly used in computers contexts.,,access document; access process; access requirement,The company reviewed the access before making a decision.,This word is useful for TOEIC Reading and workplace communication.,Use 'access' in a short answer about computers.,Do not translate word by word. Use it in a full phrase or sentence.,"Listen to TTS, record your voice, then compare transcript and final sounds.","toeic, computers",New
