id,number,category,priority,question,questionVi,sampleAnswer,vietnameseIdea,keyPhrases,framework,answerHint,followUpExamples
INT-11,11,Problem Solving,Normal,What is Fishbone analysis?,Xương cá là gì?,"Fishbone analysis helps us find possible root causes by grouping them into categories such as Man, Machine, Material, Method, Measurement, and Environment. I use it for smaller production issues or first-level analysis before deciding the corrective action.","Xương cá giúp phân tích nguyên nhân theo nhóm: con người, máy móc, vật tư, phương pháp, đo lường và môi trường. Em dùng cho lỗi nhỏ hoặc phân tích ban đầu.",['Fishbone'],Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to problem solving?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-12,12,Manpower,Must learn,How do you manage manpower?,Bạn quản lý nhân lực như thế nào?,"I manage manpower based on production priority, attendance, operator skills, and line capacity. I work with Team Leaders to assign the right people to the right stations. If there is manpower shortage, I rebalance people, use multi-skilled operators, and adjust priorities to keep production running.","Em phân bổ nhân lực theo ưu tiên sản xuất, tình trạng đi làm, kỹ năng công nhân và công suất line. Nếu thiếu người, em cân bằng lại, dùng người đa kỹ năng và điều chỉnh ưu tiên.","['production priority', 'attendance', 'operator skills', 'line capacity']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to manpower?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-13,13,Leadership,Must learn,How do you manage Team Leaders?,Bạn quản lý Team Leader như thế nào?,"I manage Team Leaders through clear targets, daily follow-up, and structured handover. At the beginning of the shift, I align them on output target, manpower, quality alerts, and priorities. During the shift, I follow up their execution and support them when issues happen. I expect Team Leaders to escalate problems early.","Em quản lý Team Leader bằng target rõ ràng, theo dõi hằng ngày và bàn giao có cấu trúc. Em yêu cầu Team Leader escalate vấn đề sớm.","['clear targets', 'daily follow-up', 'structured handover', 'escalate problems']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to leadership?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-14,14,Machine Breakdown,Normal,How do you handle machine breakdown?,"Nếu máy hư trong ca, bạn xử lý thế nào?","First, I check the impact: which line is affected, how much output is lost, and whether delivery is at risk. Then I call Maintenance immediately. At the same time, I check recovery options such as moving manpower, changing production priority, or arranging overtime if needed. After recovery, I follow output again.","Đầu tiên em kiểm tra ảnh hưởng: chuyền nào, mất bao nhiêu output, có rủi ro delivery không. Sau đó gọi Maintenance và chuẩn bị phương án recovery.","['delivery', 'manpower']",Situation → Action → Result,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to machine breakdown?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-15,15,Data Tools,Normal,"How do you use MES, Excel, and Power BI?","Bạn dùng MES, Excel và Power BI như thế nào?","I use MES, Excel, and Power BI to monitor production performance. I follow output, productivity, manpower, yield, and defect data. The purpose is to make problems visible, support daily decision-making, and escalate issues with clear data.","Em dùng MES, Excel, Power BI để theo dõi output, productivity, manpower, yield và defect. Mục đích là thấy vấn đề sớm và quyết định dựa trên dữ liệu.","['MES', 'Excel', 'Power BI', 'data-driven decisions']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to data tools?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-16,16,Kaizen & 5S,Normal,What is your experience with Kaizen and 5S?,Kinh nghiệm Kaizen và 5S của bạn là gì?,"At Sonion, I lead Kaizen and 5S activities as an area owner. My focus is workplace organization, waste reduction, process discipline, and small improvements. One improvement achieved around 1.5 seconds cycle time saving. It sounds small, but in mass production, small cycle time saving can create meaningful impact.","Ở Sonion, em là area owner cho Kaizen và 5S. Em tập trung vào tổ chức khu vực, giảm lãng phí, kỷ luật quy trình và cải tiến nhỏ. Có cải tiến tiết kiệm khoảng 1.5 giây cycle time.","['workplace organization', 'waste reduction', 'cycle time saving']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to kaizen & 5s?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-17,17,Shift Handover,Normal,How do you conduct shift handover?,Bạn bàn giao ca như thế nào?,"My handover includes production status, output gap, manpower arrangement, quality issues, machine problems, urgent orders, and unresolved actions. A good handover must be clear and specific. It helps the next shift continue production smoothly and avoid repeated mistakes.","Bàn giao gồm tình trạng sản xuất, gap output, nhân lực, lỗi chất lượng, máy móc, đơn hàng gấp và việc còn tồn. Bàn giao tốt giúp ca sau chạy mượt.","['production status', 'output gap', 'urgent orders', 'unresolved actions']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to shift handover?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-18,18,People Management,Normal,How do you handle conflict with operators?,Bạn xử lý mâu thuẫn với công nhân thế nào?,"I try to handle conflict based on facts, not emotion. First, I listen to understand the situation. Then I explain the standard, the production requirement, and the impact of the behavior. If it is a misunderstanding, I align again. If it is a discipline issue, I follow company rules.","Em xử lý dựa trên sự thật, không cảm xúc. Em lắng nghe, giải thích tiêu chuẩn và ảnh hưởng. Nếu là kỷ luật thì theo quy định công ty.",[],Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to people management?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-19,19,Weakness,Normal,What is your weakness?,Điểm yếu của bạn là gì?,"One area I am improving is English communication. I can read reports and communicate basic production topics, but I want to become more fluent and confident. To improve, I practice production interview answers, common workplace sentences, and daily English communication.","Điểm yếu là tiếng Anh giao tiếp chưa thật sự lưu loát. Em đọc hiểu và giao tiếp sản xuất cơ bản được, nhưng đang luyện để tự tin hơn.",[],Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to weakness?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
INT-20,20,Closing Pitch,Must learn,Why should we choose you?,Vì sao chúng tôi nên chọn bạn?,"You should consider me because I have real shopfloor leadership experience. I currently manage 3 production lines, 8 Team Leaders, and around 120 operators. I understand daily output pressure, delivery risk, productivity gap, manpower issues, quality problems, and shift handover. I also have experience with ramp-up, 8D, Fishbone, MES, Power BI, Kaizen, and 5S. I believe I can contribute quickly to your production team.","Anh/chị nên cân nhắc em vì em có kinh nghiệm quản lý xưởng thật: 3 chuyền, 8 Team Leader, 120 công nhân. Em hiểu áp lực sản lượng, delivery, năng suất, nhân lực, chất lượng, ramp-up, 8D, xương cá, MES, Power BI, Kaizen và 5S.","['daily output', 'delivery', 'productivity', 'manpower']",Scope → Responsibility → Impact,"Answer in 45–75 seconds. Use simple sentences, clear actions, and production KPIs.","['Can you give one real example related to closing pitch?', 'What risk would you escalate to your manager?', 'How would you measure the result?']"
